１月のスギ・ヒノキ花粉の観測値（単位：個/cm2）,,,,,,,,,,,,,
日付,曜日,千代田,葛飾,杉並,北,大田,青梅,八王子,多摩,町田,立川,府中,小平
1月4日,木,0,0,0,0,0,0,0,0,0,0,0,0
1月5日,金,0,0,0,0,0,0,0,0,0,0.1,0,0
1月6日,土,0,0,0,0,0,0,0,0,0,0.1,0,0
1月7日,日,0,0,0,0,0,0,0,0,0,0.1,0,0
1月8日,月,0,0,0,0,0,0,0,0,0,0.1,0,0
1月9日,火,0.3,1.2,0,0.3,0.3,0,0,0,0,0,0,0
1月10日,水,0,0.3,0,0,0,0,0.3,0.3,0,0,0,0.3
1月11日,木,0,0,0,0,0,0,0,0,0,0,0,0
1月12日,金,0,0,0,0,0,0,0,0,0,0,0,0
1月13日,土,0,0,0,0,0,0,0,0,0,0,0,0
1月14日,日,0.3,0,0,0,0,0,0,0,0,0,0,0
1月15日,月,0,0,0,0.3,0,0,0,0,0,0,0,0
1月16日,火,0,0,0,0,0,0,0,0,0,0,0,0
1月17日,水,0.3,0,0,0,0,0,0,0,0,0,0,0
1月18日,木,0,0,0,0,0,0,0,0,0,0,0,0
1月19日,金,0,0.3,0,0,0,0,0,0,0,0,0,0
1月20日,土,0,0,0,0,0,0,0,0,0,0,0,0
1月21日,日,0,0,0,0,0,0,0,0,0,0,0,0
1月22日,月,0,0,0,0,0,0.3,0,0,0,0,0,0
1月23日,火,0,0,0,0,0,0,0.3,1.2,0,0,0,0
1月24日,水,0.3,0,0,0,0,0.3,1.5,0,0,0.3,0,0
1月25日,木,0,0,0,0,0,0,0,0,0,0,0,0
1月26日,金,0,0,0,0,0,0,0,0,0,0.1,0.1,0
1月27日,土,0,0,0,0,0,0,0,0,0,0.1,0.1,0
1月28日,日,0,0,0,0,0,0,0,0,0,0.1,0.1,0
1月29日,月,0,0,0,0,0,0,0,0,0,0,0,0
1月30日,火,0,0,0,0,0,0.3,0,0,0,0,0,0
1月31日,水,0,0,0,0,0,0,0,0,0,0,0,0
1月合計,,1.2,1.8,0,0.6,0.3,0.9,2.1,1.5,0,1,0.3,0.3
２月のスギ・ヒノキ花粉の観測値（単位：個/cm2）,,,,,,,,,,,,,
日付,曜日,千代田,葛飾,杉並,北,大田,青梅,八王子,多摩,町田,立川,府中,小平
2月1日,木,0,0,0,0,0,0,0.9,0,0,0,0,0
2月2日,金,0,0,0,0,0,0,0,0,0,0,0,0
2月3日,土,0,0,0,0,0.3,0,0,0,0,0,0,0
2月4日,日,0.6,0,0,0,0,0,0,0,0,0,0,0
2月5日,月,0,0.6,0,0,0,0.3,0,0,0.3,0,0.3,0.3
2月6日,火,0,0.3,0.3,0,0,0,0.6,0,0,0,0,0
2月7日,水,0,0,0,0,0.3,0,0,0,0,0,0,0
2月8日,木,0,0,0,0,0,0,0,0.3,0,0,0,0
2月9日,金,0.3,0,0.6,0,0,0.2,0.2,0.9,0.8,0.7,0.6,0.5
2月10日,土,0.3,0.6,0.9,0.3,0.3,0.2,0.2,0.9,0.8,0.7,0.6,0.5
2月11日,日,0.6,0.6,1.2,0.6,1.2,0.2,0.2,0.9,0.8,0.7,0.6,0.5
2月12日,月,0.3,0.3,0.6,1.2,0.6,0.2,0.2,0.9,0.8,0.7,0.6,0.5
2月13日,火,0.3,0,0,0,0,0.6,0.6,0.3,0.6,0,0,0
